clothingType,temp_m40_m10,temp_m10_m0,temp_m0_p10,temp_p10_p20,temp_p20
sweatshirt,0,0,0,1,0
hoodie,0,0,0,1,0
turtleneck,0,0,0,1,0
sweater,0,0,0,1,0
cardigan,0,0,0,1,0
vest,0,0,0,1,0
t-shirt,0,0,0,0,1
long_sleeve_t-shirt,0,0,0,0,1
polo,0,0,0,0,1
short_sleeve_shirt,0,0,0,0,1
long_sleeve_shirt,0,0,0,0,1
denim_shirt,0,0,0,1,0
linen_shirt,0,0,0,0,1
blazer,0,0,0,1,0
joggers,1,1,1,1,1
sweatpants,1,1,1,1,1
classic_trousers,1,1,1,1,1
casual_trousers,1,1,1,1,1
cargo,1,1,1,1,0
linen_trousers,0,0,0,0,1
jeans,1,1,1,1,1
casual_shorts,0,0,0,0,1
denim_shorts,0,0,0,0,1
leather_jacket,0,0,0,1,0
down_jacket,1,1,0,0,0
denim_jacket,0,0,0,1,0
bomber_jacket,0,0,0,1,0
sleeveless_jacket,0,1,1,1,0
windbreaker,0,0,0,1,1
parka,1,1,0,0,0
demi-season_jacket,0,1,1,1,0
coat,0,1,1,0,0
trench_coat,0,0,0,1,0
low-top_sneakers,0,1,1,1,1
high-top_sneakers,0,1,1,1,0
boots,1,1,1,0,0
chelsea_boots,0,0,1,1,0
chukka_boots,0,0,1,1,0
uggs_boots,1,1,0,0,0
oxford_shoes,0,0,0,1,1
dress_shoes,0,0,0,1,1
loafers,0,0,0,1,1
short_sleeve_blouse,0,0,0,0,1
long_sleeve_blouse,0,0,0,0,1
sleeveless_blouse,0,0,0,0,1
linen_blouse,0,0,0,0,1
crop_top,0,0,0,0,1
sleeveless_top,0,0,0,0,1
leggings,0,0,0,1,1
leather_trousers,0,0,0,1,1
bermuda_shorts,0,0,0,0,1
leather_shorts,0,0,0,0,1
leather_skirt,0,0,0,0,1
denim_skirt,0,0,0,0,1
pleated_skirt,0,0,0,1,1
knitted_skirt,0,0,1,1,0
fur_coat,1,1,1,0,0
booties,0,0,1,1,0
ankle_boots,0,0,1,1,0
pumps,0,0,0,1,1
dress_sandals,0,0,0,0,1
flats,0,0,0,0,1