,category,subcategory,type,clothesParameters,values,priorityProb,styleType
0,top,hoodies&sweatshirts,sweatshirt,length,cropped,1.0,casual
1,top,hoodies&sweatshirts,sweatshirt,length,regular,1.0,casual
2,top,hoodies&sweatshirts,sweatshirt,length,extended,1.0,casual
3,top,hoodies&sweatshirts,sweatshirt,fit,slim,1.0,casual
4,top,hoodies&sweatshirts,sweatshirt,fit,regular,1.0,casual
5,top,hoodies&sweatshirts,sweatshirt,fit,oversize,1.0,casual
6,top,hoodies&sweatshirts,hoodie,length,cropped,1.0,casual
7,top,hoodies&sweatshirts,hoodie,length,regular,1.0,casual
8,top,hoodies&sweatshirts,hoodie,length,extended,1.0,casual
9,top,hoodies&sweatshirts,hoodie,fit,slim,1.0,casual
10,top,hoodies&sweatshirts,hoodie,fit,regular,1.0,casual
11,top,hoodies&sweatshirts,hoodie,fit,oversize,1.0,casual
12,top,sweaters,sweater,length,cropped,1.0,casual
13,top,sweaters,sweater,length,regular,1.0,casual
14,top,sweaters,sweater,length,extended,1.0,casual
15,top,sweaters,sweater,fit,slim,1.0,casual
16,top,sweaters,sweater,fit,regular,1.0,casual
17,top,sweaters,sweater,fit,oversize,1.0,casual
18,top,sweaters,sweater,neckline,round_neck,1.0,casual
19,top,sweaters,sweater,neckline,V-neck,1.0,casual
20,top,sweaters,sweater,neckline,U-neck,1.0,casual
21,top,sweaters,sweater,neckline,boat_neck,1.0,casual
22,top,sweaters,sweater,neckline,cowl_neck,1.0,casual
23,top,sweaters,sweater,neckline,high_collar_neck,1.0,casual
24,top,sweaters,cardigan,length,cropped,1.0,casual
25,top,sweaters,cardigan,length,regular,1.0,casual
26,top,sweaters,cardigan,length,extended,1.0,casual
27,top,sweaters,cardigan,fit,slim,1.0,casual
28,top,sweaters,cardigan,fit,regular,1.0,casual
29,top,sweaters,cardigan,fit,oversize,1.0,casual
30,top,sweaters,cardigan,neckline,round_neck,1.0,casual
31,top,sweaters,cardigan,neckline,V-neck,1.0,casual
32,top,sweaters,cardigan,neckline,U-neck,1.0,casual
33,top,sweaters,cardigan,neckline,boat_neck,1.0,casual
34,top,sweaters,cardigan,neckline,cowl_neck,1.0,casual
35,top,sweaters,cardigan,neckline,high_collar_neck,1.0,casual
36,top,t-shirts,t-shirt,length,cropped,1.0,casual
37,top,t-shirts,t-shirt,length,regular,1.0,casual
38,top,t-shirts,t-shirt,length,extended,1.0,casual
39,top,t-shirts,t-shirt,fit,slim,1.0,casual
40,top,t-shirts,t-shirt,fit,regular,1.0,casual
41,top,t-shirts,t-shirt,fit,oversize,1.0,casual
42,top,t-shirts,t-shirt,neckline,round_neck,1.0,casual
43,top,t-shirts,t-shirt,neckline,V-neck,1.0,casual
44,top,t-shirts,t-shirt,neckline,U-neck,1.0,casual
45,top,t-shirts,t-shirt,neckline,boat_neck,1.0,casual
46,top,t-shirts,t-shirt,neckline,cowl_neck,1.0,casual
47,top,t-shirts,t-shirt,neckline,high_collar_neck,1.0,casual
48,top,t-shirts,long_sleeve_t-shirt,fit,slim,1.0,casual
49,top,t-shirts,long_sleeve_t-shirt,fit,regular,1.0,casual
50,top,t-shirts,long_sleeve_t-shirt,fit,oversize,1.0,casual
51,top,t-shirts,polo,,,1.0,casual
52,top,shirts,short_sleeve_shirt,fit,slim,1.0,casual
53,top,shirts,short_sleeve_shirt,fit,regular,1.0,casual
54,top,shirts,short_sleeve_shirt,fit,oversize,1.0,casual
55,top,shirts,long_sleeve_shirt,fit,slim,1.0,casual
56,top,shirts,long_sleeve_shirt,fit,regular,1.0,casual
57,top,shirts,long_sleeve_shirt,fit,oversize,1.0,casual
58,top,shirts,denim_shirt,fit,slim,1.0,casual
59,top,shirts,denim_shirt,fit,regular,1.0,casual
60,top,shirts,denim_shirt,fit,oversize,1.0,casual
61,top,shirts,linen_shirt,fit,slim,1.0,casual
62,top,shirts,linen_shirt,fit,regular,1.0,casual
63,top,shirts,linen_shirt,fit,oversize,1.0,casual
64,top,blouses,short_sleeve_blouse,fit,slim,1.0,casual
65,top,blouses,short_sleeve_blouse,fit,regular,1.0,casual
66,top,blouses,short_sleeve_blouse,fit,oversize,1.0,casual
67,top,blouses,short_sleeve_blouse,neckline,round_neck,1.0,casual
68,top,blouses,short_sleeve_blouse,neckline,V-neck,1.0,casual
69,top,blouses,short_sleeve_blouse,neckline,U-neck,1.0,casual
70,top,blouses,short_sleeve_blouse,neckline,boat_neck,1.0,casual
71,top,blouses,short_sleeve_blouse,neckline,cowl_neck,1.0,casual
72,top,blouses,short_sleeve_blouse,neckline,high_collar_neck,1.0,casual
73,top,blouses,long_sleeve_blouse,fit,slim,1.0,casual
74,top,blouses,long_sleeve_blouse,fit,regular,1.0,casual
75,top,blouses,long_sleeve_blouse,fit,oversize,1.0,casual
76,top,blouses,long_sleeve_blouse,neckline,round_neck,1.0,casual
77,top,blouses,long_sleeve_blouse,neckline,V-neck,1.0,casual
78,top,blouses,long_sleeve_blouse,neckline,U-neck,1.0,casual
79,top,blouses,long_sleeve_blouse,neckline,boat_neck,1.0,casual
80,top,blouses,long_sleeve_blouse,neckline,cowl_neck,1.0,casual
81,top,blouses,long_sleeve_blouse,neckline,high_collar_neck,1.0,casual
82,top,blouses,linen_blouse,fit,slim,1.0,casual
83,top,blouses,linen_blouse,fit,regular,1.0,casual
84,top,blouses,linen_blouse,fit,oversize,1.0,casual
85,top,blouses,linen_blouse,neckline,round_neck,1.0,casual
86,top,blouses,linen_blouse,neckline,V-neck,1.0,casual
87,top,blouses,linen_blouse,neckline,U-neck,1.0,casual
88,top,blouses,linen_blouse,neckline,boat_neck,1.0,casual
89,top,blouses,linen_blouse,neckline,cowl_neck,1.0,casual
90,top,blouses,linen_blouse,neckline,high_collar_neck,1.0,casual
91,top,tops,crop_top,neckline,round_neck,1.0,casual
92,top,tops,crop_top,neckline,V-neck,1.0,casual
93,top,tops,crop_top,neckline,U-neck,1.0,casual
94,top,tops,crop_top,neckline,boat_neck,1.0,casual
95,top,tops,crop_top,neckline,cowl_neck,1.0,casual
96,top,tops,crop_top,neckline,high_collar_neck,1.0,casual
97,top,tops,sleeveless_top,neckline,round_neck,1.0,casual
98,top,tops,sleeveless_top,neckline,V-neck,1.0,casual
99,top,tops,sleeveless_top,neckline,U-neck,1.0,casual
100,top,tops,sleeveless_top,neckline,boat_neck,1.0,casual
101,top,tops,sleeveless_top,neckline,cowl_neck,1.0,casual
102,top,tops,sleeveless_top,neckline,high_collar_neck,1.0,casual
103,bottom,trousers,sweatpants,waist,regular,1.0,casual
104,bottom,trousers,sweatpants,waist,high,1.0,casual
105,bottom,trousers,sweatpants,fit,tapered,1.0,casual
106,bottom,trousers,sweatpants,fit,straight,1.0,casual
107,bottom,trousers,sweatpants,fit,wide,1.0,casual
108,bottom,trousers,sweatpants,fit,flared,1.0,casual
109,bottom,trousers,sweatpants,fit,baggy,1.0,casual
110,bottom,trousers,sweatpants,fit,A-line,1.0,casual
111,bottom,trousers,leggings,,,1.0,casual
112,bottom,trousers,casual_trousers,waist,regular,1.0,casual
113,bottom,trousers,casual_trousers,waist,high,1.0,casual
114,bottom,trousers,casual_trousers,fit,tapered,1.0,casual
115,bottom,trousers,casual_trousers,fit,straight,1.0,casual
116,bottom,trousers,casual_trousers,fit,wide,1.0,casual
117,bottom,trousers,casual_trousers,fit,flared,1.0,casual
118,bottom,trousers,casual_trousers,fit,baggy,1.0,casual
119,bottom,trousers,casual_trousers,fit,A-line,1.0,casual
120,bottom,trousers,casual_trousers,length,cropped,1.0,casual
121,bottom,trousers,casual_trousers,length,regular,1.0,casual
122,bottom,trousers,casual_trousers,length,extended,1.0,casual
123,bottom,trousers,casual_trousers,length,midi,1.0,casual
124,bottom,trousers,casual_trousers,length,maxi,1.0,casual
125,bottom,trousers,joggers,waist,regular,1.0,casual
126,bottom,trousers,joggers,waist,high,1.0,casual
127,bottom,trousers,joggers,length,cropped,1.0,casual
128,bottom,trousers,joggers,length,regular,1.0,casual
129,bottom,trousers,joggers,length,extended,1.0,casual
130,bottom,trousers,joggers,length,midi,1.0,casual
131,bottom,trousers,joggers,length,maxi,1.0,casual
132,bottom,trousers,cargo,waist,regular,1.0,casual
133,bottom,trousers,cargo,waist,high,1.0,casual
134,bottom,trousers,linen_trousers,waist,regular,1.0,casual
135,bottom,trousers,linen_trousers,waist,high,1.0,casual
136,bottom,trousers,linen_trousers,fit,tapered,1.0,casual
137,bottom,trousers,linen_trousers,fit,straight,1.0,casual
138,bottom,trousers,linen_trousers,fit,wide,1.0,casual
139,bottom,trousers,linen_trousers,fit,flared,1.0,casual
140,bottom,trousers,linen_trousers,fit,baggy,1.0,casual
141,bottom,trousers,linen_trousers,fit,A-line,1.0,casual
142,bottom,trousers,linen_trousers,length,cropped,1.0,casual
143,bottom,trousers,linen_trousers,length,regular,1.0,casual
144,bottom,trousers,linen_trousers,length,extended,1.0,casual
145,bottom,trousers,linen_trousers,length,midi,1.0,casual
146,bottom,trousers,linen_trousers,length,maxi,1.0,casual
147,bottom,jeans,jeans,waist,regular,1.0,casual
148,bottom,jeans,jeans,waist,high,1.0,casual
149,bottom,jeans,jeans,fit,tapered,1.0,casual
150,bottom,jeans,jeans,fit,straight,1.0,casual
151,bottom,jeans,jeans,fit,wide,1.0,casual
152,bottom,jeans,jeans,fit,flared,1.0,casual
153,bottom,jeans,jeans,fit,baggy,1.0,casual
154,bottom,jeans,jeans,fit,A-line,1.0,casual
155,bottom,jeans,jeans,length,cropped,1.0,casual
156,bottom,jeans,jeans,length,regular,1.0,casual
157,bottom,jeans,jeans,length,extended,1.0,casual
158,bottom,jeans,jeans,length,midi,1.0,casual
159,bottom,jeans,jeans,length,maxi,1.0,casual
160,bottom,shorts,casual_shorts,,,1.0,casual
161,bottom,shorts,bermuda_shorts,,,1.0,casual
162,bottom,shorts,denim_shorts,,,1.0,casual
163,bottom,skirts,denim_skirt,waist,regular,1.0,casual
164,bottom,skirts,denim_skirt,waist,high,1.0,casual
165,bottom,skirts,denim_skirt,fit,tapered,1.0,casual
166,bottom,skirts,denim_skirt,fit,straight,1.0,casual
167,bottom,skirts,denim_skirt,fit,wide,1.0,casual
168,bottom,skirts,denim_skirt,fit,flared,1.0,casual
169,bottom,skirts,denim_skirt,fit,baggy,1.0,casual
170,bottom,skirts,denim_skirt,fit,A-line,1.0,casual
171,bottom,skirts,denim_skirt,length,cropped,1.0,casual
172,bottom,skirts,denim_skirt,length,regular,1.0,casual
173,bottom,skirts,denim_skirt,length,extended,1.0,casual
174,bottom,skirts,denim_skirt,length,midi,1.0,casual
175,bottom,skirts,denim_skirt,length,maxi,1.0,casual
176,bottom,skirts,pleated_skirt,waist,regular,1.0,casual
177,bottom,skirts,pleated_skirt,waist,high,1.0,casual
178,bottom,skirts,pleated_skirt,fit,tapered,1.0,casual
179,bottom,skirts,pleated_skirt,fit,straight,1.0,casual
180,bottom,skirts,pleated_skirt,fit,wide,1.0,casual
181,bottom,skirts,pleated_skirt,fit,flared,1.0,casual
182,bottom,skirts,pleated_skirt,fit,baggy,1.0,casual
183,bottom,skirts,pleated_skirt,fit,A-line,1.0,casual
184,bottom,skirts,pleated_skirt,length,cropped,1.0,casual
185,bottom,skirts,pleated_skirt,length,regular,1.0,casual
186,bottom,skirts,pleated_skirt,length,extended,1.0,casual
187,bottom,skirts,pleated_skirt,length,midi,1.0,casual
188,bottom,skirts,pleated_skirt,length,maxi,1.0,casual
189,bottom,skirts,knitted_skirt,waist,regular,1.0,casual
190,bottom,skirts,knitted_skirt,waist,high,1.0,casual
191,bottom,skirts,knitted_skirt,fit,tapered,1.0,casual
192,bottom,skirts,knitted_skirt,fit,straight,1.0,casual
193,bottom,skirts,knitted_skirt,fit,wide,1.0,casual
194,bottom,skirts,knitted_skirt,fit,flared,1.0,casual
195,bottom,skirts,knitted_skirt,fit,baggy,1.0,casual
196,bottom,skirts,knitted_skirt,fit,A-line,1.0,casual
197,bottom,skirts,knitted_skirt,length,cropped,1.0,casual
198,bottom,skirts,knitted_skirt,length,regular,1.0,casual
199,bottom,skirts,knitted_skirt,length,extended,1.0,casual
200,bottom,skirts,knitted_skirt,length,midi,1.0,casual
201,bottom,skirts,knitted_skirt,length,maxi,1.0,casual
202,outerwear,jackets,down_jacket,,,1.0,casual
203,outerwear,jackets,denim_jacket,,,1.0,casual
204,outerwear,jackets,windbreaker,,,1.0,casual
205,outerwear,jackets,parka,,,1.0,casual
206,outerwear,jackets,demi-season_jacket,,,1.0,casual
207,outerwear,coats,coat,,,1.0,casual
208,footwear,sneakers,low-top_sneakers,,,1.0,casual
209,footwear,sneakers,high-top_sneakers,,,1.0,casual
210,footwear,boots,boots,heel_type,stiletto,1.0,casual
211,footwear,boots,boots,heel_type,platform,1.0,casual
212,footwear,boots,boots,heel_type,heel,1.0,casual
213,footwear,boots,boots,heel_type,flat,1.0,casual
214,footwear,boots,ankle_boots,heel_type,stiletto,1.0,casual
215,footwear,boots,ankle_boots,heel_type,platform,1.0,casual
216,footwear,boots,ankle_boots,heel_type,heel,1.0,casual
217,footwear,boots,ankle_boots,heel_type,flat,1.0,casual
218,footwear,flats&loafers,flats,,,1.0,casual
219,footwear,flats&loafers,loafers,,,1.0,casual
